match_id,country,opposition,runs,wickets,over,rpo,target,inns,result
3477,WIN,ENG,269,6,50.0,5.38,,1,1
3477,ENG,WIN,254,6,50.0,5.08,270,2,0
3478,BAN,AFG,222,10,47.5,4.64,255,2,0
3478,AFG,BAN,254,6,50.0,5.08,,1,1
3479,PAK,IND,249,9,49.4,5.01,246,2,1
3479,IND,PAK,245,8,50.0,4.9,,1,0
3480,WIN,ENG,159,10,44.2,3.58,,1,0
3480,ENG,WIN,163,7,44.5,3.63,160,2,1
3481,SLK,AFG,253,6,50.0,5.06,,1,1
3481,AFG,SLK,124,10,38.4,3.2,254,2,0
3482,PAK,BAN,329,7,49.5,6.6,327,2,1
